,Date,Flights Climbed,Step Count,Distance,Speed,Step Length,Day of Week
52,3/13/2022,3,7516,3.22,2.95,29.19,Sunday
53,3/14/2022,14,8543,3.65,3.03,29.72,Monday
54,3/15/2022,18,5598,2.46,3.16,30.57,Tuesday
55,3/16/2022,13,8543,3.67,3.21,31.12,Wednesday
56,3/17/2022,20,12004,5.41,3.11,30.4,Thursday
57,3/18/2022,17,13647,6.05,3.1,30.75,Friday
58,3/19/2022,17,14466,6.63,3.24,31.71,Saturday
59,3/20/2022,3,6195,2.67,2.98,28.91,Sunday
60,3/21/2022,10,8877,3.76,3.12,30.65,Monday
61,3/22/2022,9,9534,4.09,3.02,29.44,Tuesday
62,3/23/2022,8,7126,3.09,3.01,29.72,Wednesday
63,3/24/2022,20,11321,5.04,3.04,29.58,Thursday
64,3/25/2022,1,2264,0.993,3.2,30.53,Friday
65,3/26/2022,2,1478,0.625,2.96,29.63,Saturday
66,3/27/2022,7,6974,3.18,3.06,29.61,Sunday
67,3/28/2022,11,8665,3.86,3.04,29.75,Monday
68,3/29/2022,13,8876,4.09,3.05,29.68,Tuesday
69,3/30/2022,19,10130,4.47,3.14,30.66,Wednesday
70,3/31/2022,26,11675,5.16,3.15,30.4,Thursday
71,4/1/2022,17,16585,7.63,3.15,30.82,Friday
72,4/2/2022,13,7362,3.15,2.94,28.74,Saturday
73,4/3/2022,18,9792,4.27,3.03,29.16,Sunday
74,4/4/2022,14,8330,3.46,2.94,29.44,Monday
75,4/5/2022,23,10639,4.46,3.04,29.72,Tuesday
76,4/6/2022,17,11110,4.76,3.1,30.45,Wednesday
77,4/7/2022,15,9264,4.36,3.1,30.11,Thursday
78,4/8/2022,25,15185,6.79,3.26,31.37,Friday
79,4/9/2022,15,9334,4.05,3.17,30.51,Saturday
80,4/10/2022,6,7001,3.02,3.04,29.63,Sunday
81,4/11/2022,26,11926,5.12,3.2,31.35,Monday
82,4/12/2022,24,10170,4.34,3.13,30.48,Tuesday
83,4/13/2022,14,8912,3.78,2.91,29.26,Wednesday
84,4/14/2022,11,8107,3.58,3.15,30.68,Thursday
85,4/15/2022,12,9657,4.07,3.07,30.36,Friday
86,4/16/2022,9,5162,2.18,3.02,29.79,Saturday
87,4/17/2022,13,5798,2.56,3.04,29.5,Sunday
88,4/18/2022,26,7989,3.56,3.12,30.41,Monday
89,4/19/2022,18,10221,4.42,3.11,30.49,Tuesday
